datetime,open,high,low,close,volume,date,bb_bbm,bb_bbh,bb_bbl,bb_vm,bb_vh,bb_vl,rsi
1644476400000,44443.62,44560.72,44200.0,44318.11,4955.5340000000015,2022-02-10 07:00:00,44197.560000000085,44734.50438840113,43660.61561159906,7945.153610000011,13012.386337843109,2877.9208821569155,54.7320655690194
1644478200000,44318.1,44565.99,44299.12,44531.19,3310.407,2022-02-10 07:30:00,44218.09850000009,44772.79989333381,43663.397106666365,7887.677820000011,12974.520539585,2800.8351004150236,59.02744252400228
1644480000000,44531.19,44555.39,44296.6,44350.73,3368.177,2022-02-10 08:00:00,44225.980500000085,44783.50921676217,43668.451783238,7834.183840000011,12940.109694458206,2728.257985541818,54.325898861482614
1644481800000,44350.74,44390.0,44222.11,44358.08,3123.708,2022-02-10 08:30:00,44247.47000000008,44790.38546708071,43704.55453291945,7824.030360000013,12938.296863314179,2709.7638566858427,54.484911982968704
1644483600000,44358.09,44386.48,44025.0,44134.58,6930.871,2022-02-10 09:00:00,44256.34250000008,44785.617179793466,43727.0678202067,7862.159440000012,12955.368121826692,2768.9507581733324,48.908876690742595
1644485400000,44134.58,44184.54,44048.71,44099.88,2935.973,2022-02-10 09:30:00,44257.59850000008,44785.26035995057,43729.936640049615,7870.958700000012,12954.880509136665,2787.03689086336,48.0860562891158
1644487200000,44098.99,44231.22,44090.0,44104.98,3066.741,2022-02-10 10:00:00,44263.339500000075,44781.65312433807,43745.02587566208,7848.084010000012,12948.3979755195,2747.770044480526,48.22392694958215
1644489000000,44104.98,44250.0,44005.14,44239.02,2823.9440000000004,2022-02-10 10:30:00,44282.53200000008,44766.23999499231,43798.82400500786,7840.430120000014,12947.698880461914,2733.1613595381114,51.84376612313757
1644490800000,44239.01,44345.0,44185.12,44289.52,2873.601,2022-02-10 11:00:00,44307.75800000008,44734.29072833333,43881.225271666815,7777.507550000013,12906.772727995456,2648.242372004569,53.17209774894084
1644492600000,44289.52,44293.04,43763.0,43773.22,7082.208000000001,2022-02-10 11:30:00,44292.91900000008,44769.24849313629,43816.589506863864,7812.3727000000135,12924.916526007619,2699.8288739924064,40.78543032979577
1644494400000,43773.22,43835.7,43550.0,43711.05,10476.573,2022-02-10 12:00:00,44271.08100000008,44808.18915978858,43733.97284021158,7882.112350000013,12982.94362232788,2781.2810776721476,39.58947796122862
